,voltage,sample id,source,batch number,batch date,composition,post processing id,rep,reaction,xrf comp,bulk_id,computational_comp_nearest_xrf,sid,Unnamed: 0,total reps,current density,fe_h2,fe_co,fe_ch4,fe_c2h4,fe_gas_total,fe_liquid,rwp,q_score,matched,H2_pr,CO_pr,CH4_pr,Total_Liquid_pr,C2H4_pr,C_mean_energy,C_wulff_energy,C_boltz_energy,CO_mean_energy,CO_wulff_energy,CO_boltz_energy,CHO_mean_energy,CHO_wulff_energy,CHO_boltz_energy,COCOH_mean_energy,COCOH_wulff_energy,COCOH_boltz_energy,H_mean_energy,H_wulff_energy,H_boltz_energy,OH_mean_energy,OH_wulff_energy,OH_boltz_energy,elements,loco_cv,loo_cv
0,3.3,vsp13_240823_Ag-0.417-Au-0.167-Zn-0.417_pp0_rep1,vsp,13.0,240823.0,Ag-0.417-Au-0.167-Zn-0.417,pp0,1,CO2R,Ag-0.085-Au-0.431-Zn-0.485,,Ag-0.083-Au-0.417-Zn-0.5,,1790.6868231987376,,134.34115993687305,57.46607678098837,24.67090878820794,0.00791922944011533,0.0,82.3315468525738,17.65233067167601,,,False,3.9342804405550156e-07,1.6890360249592434e-07,1.3554287692743978e-11,1.20852550203602e-07,0.0,1.231272466666665,1.324307019999992,-0.07416432803756168,-0.305126566666664,0.079033140000007,-0.8778778851129754,-0.1987506160416664,0.2027230100000281,-1.0120787554821937,-0.18613827249999973,0.2939113099999986,-0.9564941557083881,0.06159514041666517,0.3471934300000043,-0.6220735999636717,-0.15155202416666302,0.1598680300000126,-1.1860989077017607,AgAuZn,0,0
1,3.3,vsp13_240823_Ag-0.417-Au-0.083-Zn-0.5_pp0_rep1,vsp,13.0,240823.0,Ag-0.417-Au-0.083-Zn-0.5,pp0,1,CO2R,Ag-0.125-Au-0.359-Zn-0.516,,Ag-0.1-Au-0.4-Zn-0.5,,1793.2230954937945,,109.23015020684565,34.93738614665872,51.91507371810134,0.012812095910104324,0.0,87.2074535620311,12.774233745141892,,,False,1.951226063979463e-07,2.8994168174731173e-07,1.78886418184371e-11,7.134311000329546e-08,0.0,0.7461787942105278,1.0950350700000229,-0.6839139975409356,-0.5144623768420974,0.1061038300000234,-1.4642978978274752,-0.5338175821052618,0.155999649999984,-2.0652935195909987,-0.47449673526315306,0.2598064500000134,-1.9360728663998585,-0.15335219052631777,0.3265833800000166,-1.4686697964322681,-0.5007758584210514,-0.1401319400000034,-2.176279200122232,AgAuZn,0,1
2,3.3,uoft6_240624_Ag-0.125-Au-0.125-Cd-0.75_pp0_rep1,uoft,6.0,240624.0,Ag-0.125-Au-0.125-Cd-0.75,pp0,1,CO2R,Ag-0.129-Au-0.076-Cd-0.796,,Ag-0.125-Au-0.125-Cd-0.75,,918.5,,127.50186968165323,53.45790332892454,24.645105997914012,0.30217929338688254,0.03321301231903402,78.75859208737812,20.998450206043785,,,False,3.4624132545563273e-07,1.5962380930295973e-07,4.892960280529275e-10,1.3600479590677892e-07,2.1511725472956237e-10,1.7123381141614902,1.7763592529989036,1.0232732236962339,-0.12050823173913251,-0.02288238747921211,-0.8422583489254226,0.13385487844720162,0.004027206411483934,-0.4744137238106013,0.09113365416149602,0.18633775066951191,-0.5810258782126564,0.272395549565219,0.35269482519056433,-0.41207314804547923,-0.0011422619875776406,0.14282207016461929,-0.6876189359647753,AgAuCd,1,2
3,3.3,vsp13_240823_Ag-0.25-Au-0.25-Zn-0.5_pp0_rep2,vsp,13.0,240823.0,Ag-0.25-Au-0.25-Zn-0.5,pp0,2,CO2R,Ag-0.085-Au-0.132-Zn-0.783,,Ag-0.125-Au-0.125-Zn-0.75,,1772.0528373357113,,129.92906660722082,63.70571328740574,17.119701996287315,0.007925070266773955,0.0,80.87990300686958,19.120001261922223,,,False,4.208172425474601e-07,1.1308665134648314e-07,1.308754758624606e-11,1.2629991555461814e-07,0.0,0.904844255312502,0.7526133399999964,0.5462818497037674,-0.21394558562500254,0.1084407799999951,-0.3706170617041394,0.053854636874996156,1.5410861299999965,-0.49132749528292896,-0.23467906031249264,-0.0055547599999954,-0.4630032384242297,0.10724270406250455,0.2692561400000102,-0.22503165627848046,-0.3106018875000025,-0.3118632599999955,-0.6078835339427998,AgAuZn,0,3
4,3.3,uoft4_240405_Ag-0.125-Cu-0.125-Pd-0.75_pp0_rep1,uoft,4.0,240405.0,Ag-0.125-Cu-0.125-Pd-0.75,pp0,1,CO2R,Ag-0.129-Cu-0.083-Pd-0.788,,Ag-0.125-Cu-0.125-Pd-0.75,,9.333333333333334,,143.35500151449543,29.398166005191527,61.181339305129825,0.01181417989866512,0.0,90.63733267248938,9.275085084986166,,,False,2.1653054906595944e-07,4.506277360972479e-07,2.1754170479293126e-11,6.831512094090806e-08,0.0,-1.3545854839189162,-0.7425138970988996,-1.6518571949883178,-1.6313891264864953,-1.569876746499642,-1.6458566820012983,-1.0175627439189088,-0.7209643714962364,-1.2098884583822105,-1.33884901783784,-1.0950417962669319,-1.6829628240421926,-0.38312362891892504,-0.42143540302411425,-0.4638350312964364,0.32429092851352137,0.6808516007839757,0.13777815547065778,AgCuPd,2,4
5,3.3,vsp13_240823_Ag-0.25-Au-0.5-Zn-0.25_pp0_rep3,vsp,13.0,240823.0,Ag-0.25-Au-0.5-Zn-0.25,pp0,3,CO2R,Ag-0.172-Au-0.21-Zn-0.618,,Ag-0.182-Au-0.182-Zn-0.636,,1749.7479714841984,,143.6992871049622,65.26326316425497,14.25836213068973,0.006140569749968675,0.0,79.55099954102229,20.441944785019306,,,False,4.820368475901661e-07,1.0531278394674432e-07,1.1338618164221786e-11,1.5098495148768328e-07,0.0,0.9014835706451607,1.2318072656945702,0.08206874333213628,-0.23133589225806614,-0.2517267213982052,-0.8831957790848304,0.032645206612901836,0.9553485337984055,-0.8326798913498659,-0.2571461875806396,-0.2664856730320531,-0.6859989861655462,0.09902996661290443,0.0997558851557676,-0.44051709283891083,-0.3621555404838729,-0.3332434983459751,-0.8456474420780155,AgAuZn,0,5
6,3.3,uoft4_240405_Ag-0.2-Pd-0.8_pp0_rep1,uoft,4.0,240405.0,Ag-0.2-Pd-0.8,pp0,1,CO2R,Ag-0.205-Pd-0.795,,Ag-0.188-Pd-0.812,,27.631232201461454,,94.68483021921806,51.3669282288798,29.746301147900425,0.04032889321876233,0.0,81.18466975791327,18.81532613564692,,,False,2.4728244598254705e-07,1.4319988288983734e-07,4.853622604445353e-11,9.057773219474418e-08,0.0,-1.427195186874986,0.23499739959037627,-1.802477677165941,-1.7295243231250135,0.12801637165720697,-1.7955490383104487,-1.0423721671875015,0.09329576091114143,-1.062859525895856,-1.436091834687506,0.2688059210813239,-1.815616074373722,-0.44052169874999514,0.06562360267628602,-0.5091454709913267,0.4837077559374885,0.12452777043562314,0.25911393822970036,AgPd,3,6
7,3.3,vsp13_240823_Ag-0.25-Au-0.5-Zn-0.25_pp0_rep2,vsp,13.0,240823.0,Ag-0.25-Au-0.5-Zn-0.25,pp0,2,CO2R,Ag-0.14-Au-0.279-Zn-0.581,,Ag-0.2-Au-0.2-Zn-0.6,,1740.440604227613,,145.59395772386955,68.40252497417127,10.740164424028173,0.004490871476718335,0.0,79.14881660042651,20.850189250752756,,,False,5.130459751342522e-07,8.055547850182999e-08,8.420827801479398e-12,1.5638466094527013e-07,0.0,0.9974262826190483,0.5564771770201349,0.21898109448505906,-0.2302234365476232,0.11765511953448622,-0.7748012262845085,-0.09698702809524086,0.4350051035689654,-0.5862983348056093,-0.18911270083333062,0.1793488281753609,-0.6689164651837869,0.13559795928571527,0.12424267753434395,-0.19236616585191155,-0.3052061753571448,0.15586453948832465,-0.7184573721924098,AgAuZn,0,7
8,3.3,vsp13_240823_Ag-0.4-Au-0.1-Zn-0.5_pp0_rep1,vsp,13.0,240823.0,Ag-0.4-Au-0.1-Zn-0.5,pp0,1,CO2R,Ag-0.159-Au-0.383-Zn-0.458,,Ag-0.2-Au-0.4-Zn-0.4,,1772.3623780120627,,115.94054969843357,41.078767275542745,37.15029302833049,0.010968169616617156,0.0,78.80386779953102,20.922204575138476,,,False,2.422520355506373e-07,2.1908481447479867e-07,1.6170527940063713e-11,1.2338361111317422e-07,0.0,1.3055918624137917,1.2560997027847975,0.8615997579094634,-0.32990991586206947,-0.05041491317442832,-0.6856610181851174,-0.18540172517241552,0.019960275066780945,-0.7710069653867782,-0.2038491920689619,0.04312198588467595,-0.5658565403217433,0.08559953206896619,0.23926149006200254,-0.27757683852775417,-0.23736025827586532,-0.16231796448058072,-0.7326141185873635,AgAuZn,0,8
9,3.3,vsp23_241025_Ag-0.167-Ga-0.833_pp0_rep1,vsp,23.0,241025.0,Ag-0.167-Ga-0.833,pp0,1,CO2R,Ag-0.22-Ga-0.78,,Ag-0.2-Ga-0.8,,2065.9908086740434,,99.540433702163,30.938013926771877,41.96465863283799,0.03481810084825233,0.0,72.96856568669486,27.02721417725913,,,False,1.5930733369575662e-07,2.160862003641736e-07,4.482171046607808e-11,1.3916967773026531e-07,0.0,0.6196117107142801,0.37899825375204094,0.37899825375204094,-0.1403080842857182,0.25007466040215104,0.25007466040215104,-0.09436911857143215,0.301688230180859,0.301688230180859,-0.014134973928573684,0.3106087884191811,0.3106087884191811,0.22783692892856675,0.27675201263114524,0.27675201263114524,-0.27751229607142036,0.3066636590319618,0.3066636590319618,AgGa,4,9
